"","ZCTA","zip_code","dense"
"12790","38359",38359,50.2779413470783
"12791","38361",38361,25.7233273001049
"12792","38362",38362,114.6948475331
"12793","38363",38363,64.9118857344226
"12794","38365",38365,0
"12795","38366",38366,50.2924383681844
"12796","38367",38367,34.8042468325388
"12797","38367",38393,34.8042468325388
"12798","38368",38368,46.1363774249561
"12799","38369",38369,40.8115939820483
"12800","38370",38370,48.176728758496
"12801","38371",38371,21.4626136563905
"12802","38372",38372,57.2986751815425
"12803","38374",38374,43.39452850913
"12804","38375",38375,74.5037467540676
"12805","38376",38376,20.5450806662613
"12806","38379",38379,46.2868645409113
"12807","38380",38380,11.7751182140485
"12808","38381",38381,26.7083548732432
"12809","38382",38382,47.6687534139373
"12810","38382",38331,47.6687534139373
"12811","38387",38387,7.81818757532981
"12812","38388",38388,19.9088818122649
"12813","38390",38390,42.0021863739599
"12814","38390",38324,42.0021863739599
"12815","38391",38391,22.3394453275336
"12816","38392",38392,20.4167124805385
"12817","38401",38401,224.82241009798
"12818","38401",38402,224.82241009798
"12819","38425",38425,34.7446701671984
"12820","38449",38449,55.5835079714939
"12821","38450",38450,24.782535625009
"12822","38451",38451,49.9131769304617
"12823","38452",38452,20.1239801876704
"12824","38453",38453,31.3233557352021
"12825","38454",38454,15.1556822857221
"12826","38455",38455,454.344696307126
"12827","38456",38456,66.3464305422838
"12828","38457",38457,18.5983424223786
"12829","38459",38459,23.9106954858456
"12830","38460",38460,64.5940742306031
"12831","38461",38461,16.1548410981997
"12832","38462",38462,53.1349587608971
"12833","38463",38463,24.8358183843521
"12834","38464",38464,87.8819865454201
"12835","38468",38468,54.7329270616266
"12836","38469",38469,66.3410230451986
"12837","38471",38471,2.67880557061156
"12838","38472",38472,24.7822127916435
"12839","38473",38473,38.4537878825538
"12840","38474",38474,89.6079480546406
"12841","38475",38475,12.3478074019725
"12842","38476",38476,30.4420993111094
"12843","38477",38477,28.9181249603957
"12844","38478",38478,73.1409011618451
"12845","38481",38481,83.4796758424139
"12846","38482",38482,39.2446624038872
"12847","38483",38483,70.5114707247751
"12848","38485",38485,21.6691382373092
"12849","38486",38486,15.5976541530135
"12850","38487",38487,13.5433369965674
"12851","38488",38488,33.2106122830024
"12852","38501",38501,487.182500518439
"12853","38501",38502,487.182500518439
"12854","38501",38503,487.182500518439
"12855","38504",38504,10.9711081628134
"12856","38505",38505,17976.0485021946
"12857","38506",38506,180.456967717708
"12858","38541",38541,31.6058643093822
"12859","38542",38542,0
"12860","38543",38543,7.72922821746089
"12861","38544",38544,93.5772620752126
"12862","38545",38545,67.1131851579068
"12863","38547",38547,59.9540964067702
"12864","38548",38548,43.0162889049637
"12865","38549",38549,56.2000055970112
"12866","38551",38551,48.3325276218708
"12867","38552",38552,39.1562992973525
"12868","38553",38553,52.835302262864
"12869","38554",38554,23.2944599122427
"12870","38555",38555,232.185296364361
"12871","38556",38556,39.6698136011808
"12872","38558",38558,459.865907089378
"12873","38559",38559,60.9466895678606
"12874","38560",38560,49.7159745277311
"12875","38562",38562,47.0677571557573
"12876","38563",38563,68.4333241970461
"12877","38564",38564,15.0291953703952
"12878","38565",38565,106.855481943386
"12879","38567",38567,49.9740073650217
"12880","38568",38568,29.4454566660817
"12881","38569",38569,23.5596084337585
"12882","38570",38570,84.3105756034068
"12883","38571",38557,64.2780665583136
"12884","38571",38571,64.2780665583136
"12885","38572",38572,75.8979791737324
"12886","38573",38573,30.0508901978666
"12887","38574",38574,52.0648622447989
"12888","38575",38575,20.6217994444548
"12889","38577",38577,14.9329083727568
"12890","38578",38578,441.939156747622
"12891","38579",38579,86.1871438154421
"12892","38580",38580,46.8894639754283
"12893","38581",38581,40.4703073079015
